"Date (UTC)","Wind offshore 50Hertz","Wind offshore Tennet","Wind onshore 50Hertz","Wind onshore Amprion","Wind onshore Tennet","Wind onshore Transnet BW","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2021-01-01 00:00:00,0.221,0.116,1.479,0.369,2.065,0.319,0,0,0,0
2021-01-01 00:15:00,0.234,0.118,1.424,0.379,1.981,0.314,0,0,0,0
2021-01-01 00:30:00,0.295,0.109,1.266,0.373,1.899,0.281,0,0,0,0
2021-01-01 00:45:00,0.296,0.137,1.252,0.385,1.844,0.242,0,0,0,0
2021-01-01 01:00:00,0.273,0.147,1.34,0.386,1.815,0.23,0,0,0,0
2021-01-01 01:15:00,0.272,0.138,1.311,0.399,1.767,0.212,0,0,0,0
2021-01-01 01:30:00,0.266,0.113,1.268,0.409,1.693,0.189,0,0,0,0
2021-01-01 01:45:00,0.258,0.103,1.221,0.41,1.614,0.194,0,0,0,0
2021-01-01 02:00:00,0.233,0.086,1.212,0.44,1.543,0.177,0,0,0,0
2021-01-01 02:15:00,0.206,0.097,1.228,0.448,1.501,0.154,0,0,0,0
2021-01-01 02:30:00,0.186,0.105,1.212,0.458,1.429,0.149,0,0,0,0
2021-01-01 02:45:00,0.191,0.113,1.176,0.474,1.336,0.142,0,0,0,0
2021-01-01 03:00:00,0.184,0.119,1.168,0.466,1.268,0.134,0,0,0,0
2021-01-01 03:15:00,0.182,0.126,1.114,0.455,1.186,0.129,0,0,0,0
2021-01-01 03:30:00,0.195,0.128,1.05,0.447,1.117,0.127,0,0,0,0
2021-01-01 03:45:00,0.203,0.132,1.004,0.454,1.086,0.107,0,0,0,0
2021-01-01 04:00:00,0.205,0.096,0.977,0.469,1.074,0.099,0,0,0,0
2021-01-01 04:15:00,0.214,0.082,0.917,0.481,1.052,0.101,0,0,0,0
2021-01-01 04:30:00,0.206,0.083,0.91,0.453,1.059,0.098,0,0,0,0
2021-01-01 04:45:00,0.179,0.103,0.9,0.433,1.022,0.101,0,0,0,0
2021-01-01 05:00:00,0.207,0.136,0.846,0.418,1.005,0.087,0,0,0,0
2021-01-01 05:15:00,0.244,0.164,0.74,0.414,0.968,0.084,0,0,0,0
2021-01-01 05:30:00,0.275,0.193,0.697,0.422,0.955,0.072,0,0,0,0
2021-01-01 05:45:00,0.29,0.202,0.66,0.403,0.89,0.066,0,0,0,0
2021-01-01 06:00:00,0.298,0.215,0.692,0.417,0.883,0.066,0,0,0,0
2021-01-01 06:15:00,0.303,0.238,0.654,0.431,0.876,0.08,0,0,0,0
2021-01-01 06:30:00,0.275,0.233,0.7,0.422,0.854,0.076,0,0,0,0
2021-01-01 06:45:00,0.272,0.171,0.665,0.429,0.851,0.062,0,0,0,0
2021-01-01 07:00:00,0.266,0.145,0.592,0.453,0.82,0.06,0,0,0,0
2021-01-01 07:15:00,0.235,0.153,0.616,0.486,0.825,0.067,0,0,0,0
2021-01-01 07:30:00,0.202,0.175,0.61,0.514,0.86,0.064,0,0,0,0
2021-01-01 07:45:00,0.161,0.187,0.61,0.517,0.856,0.06,0,0,0.001,0
2021-01-01 08:00:00,0.167,0.212,0.584,0.542,0.89,0.065,0.001,0.001,0.02,0
2021-01-01 08:15:00,0.163,0.21,0.573,0.57,0.904,0.069,0.008,0.004,0.071,0
2021-01-01 08:30:00,0.147,0.193,0.603,0.581,0.924,0.068,0.042,0.021,0.139,0.013
2021-01-01 08:45:00,0.147,0.18,0.584,0.586,0.938,0.061,0.086,0.064,0.271,0.035
2021-01-01 09:00:00,0.133,0.134,0.609,0.61,0.954,0.057,0.136,0.147,0.426,0.07
2021-01-01 09:15:00,0.132,0.093,0.61,0.614,0.945,0.057,0.198,0.244,0.581,0.114
2021-01-01 09:30:00,0.119,0.096,0.571,0.624,0.915,0.054,0.302,0.356,0.743,0.164
2021-01-01 09:45:00,0.126,0.144,0.543,0.642,0.887,0.047,0.388,0.479,0.889,0.218
2021-01-01 10:00:00,0.12,0.266,0.566,0.644,0.841,0.042,0.463,0.6,1.058,0.281
2021-01-01 10:15:00,0.138,0.314,0.556,0.626,0.792,0.033,0.543,0.695,1.243,0.322
2021-01-01 10:30:00,0.141,0.322,0.508,0.609,0.768,0.03,0.617,0.755,1.449,0.376
2021-01-01 10:45:00,0.146,0.329,0.508,0.583,0.758,0.033,0.683,0.819,1.633,0.409
2021-01-01 11:00:00,0.142,0.347,0.519,0.537,0.73,0.03,0.746,0.884,1.783,0.447
2021-01-01 11:15:00,0.136,0.379,0.507,0.51,0.713,0.022,0.8,0.946,1.909,0.484
2021-01-01 11:30:00,0.146,0.457,0.456,0.473,0.682,0.015,0.831,0.983,2.057,0.513
2021-01-01 11:45:00,0.135,0.485,0.458,0.432,0.662,0.013,0.846,1.02,2.202,0.5
2021-01-01 12:00:00,0.13,0.488,0.429,0.413,0.645,0.012,0.867,1.049,2.337,0.532
2021-01-01 12:15:00,0.118,0.523,0.372,0.373,0.636,0.014,0.905,1.067,2.403,0.511
2021-01-01 12:30:00,0.112,0.586,0.334,0.361,0.626,0.013,0.912,1.068,2.386,0.508
2021-01-01 12:45:00,0.092,0.623,0.309,0.342,0.625,0.012,0.862,1.034,2.363,0.503
2021-01-01 13:00:00,0.094,0.674,0.275,0.324,0.62,0.008,0.794,0.989,2.315,0.473
2021-01-01 13:15:00,0.079,0.732,0.271,0.31,0.634,0.006,0.761,0.922,2.25,0.457
2021-01-01 13:30:00,0.066,0.826,0.259,0.304,0.646,0.008,0.693,0.871,2.172,0.423
2021-01-01 13:45:00,0.062,0.811,0.257,0.292,0.667,0.007,0.609,0.805,2.033,0.371
2021-01-01 14:00:00,0.061,0.759,0.242,0.285,0.702,0.007,0.523,0.713,1.828,0.318
2021-01-01 14:15:00,0.058,0.86,0.269,0.277,0.73,0.008,0.426,0.63,1.606,0.292
2021-01-01 14:30:00,0.062,0.75,0.285,0.265,0.751,0.005,0.346,0.542,1.372,0.248
2021-01-01 14:45:00,0.058,0.594,0.305,0.262,0.781,0.008,0.267,0.457,1.12,0.212
2021-01-01 15:00:00,0.049,0.556,0.391,0.276,0.83,0.007,0.185,0.366,0.862,0.183
2021-01-01 15:15:00,0.059,0.593,0.404,0.291,0.869,0.006,0.116,0.277,0.579,0.15
2021-01-01 15:30:00,0.068,0.649,0.415,0.301,0.933,0.008,0.062,0.189,0.339,0.11
2021-01-01 15:45:00,0.084,0.613,0.425,0.321,1.018,0.009,0.022,0.112,0.156,0.071
2021-01-01 16:00:00,0.106,0.627,0.446,0.35,1.127,0.01,0.004,0.049,0.052,0.034
2021-01-01 16:15:00,0.133,0.711,0.48,0.376,1.242,0.011,0,0.013,0.01,0.009
2021-01-01 16:30:00,0.139,0.717,0.551,0.407,1.348,0.013,0,0.002,0.001,0
2021-01-01 16:45:00,0.132,0.762,0.632,0.444,1.446,0.014,0,0,0,0
2021-01-01 17:00:00,0.13,0.712,0.713,0.478,1.522,0.017,0,0,0,0
2021-01-01 17:15:00,0.115,0.668,0.795,0.512,1.602,0.015,0,0,0,0
2021-01-01 17:30:00,0.125,0.588,0.888,0.554,1.715,0.016,0,0,0,0
2021-01-01 17:45:00,0.14,0.533,0.933,0.584,1.792,0.016,0,0,0,0
2021-01-01 18:00:00,0.153,0.498,0.971,0.608,1.884,0.014,0,0,0,0
2021-01-01 18:15:00,0.14,0.511,1.102,0.641,1.94,0.013,0,0,0,0
2021-01-01 18:30:00,0.131,0.553,1.12,0.67,1.973,0.011,0,0,0,0
2021-01-01 18:45:00,0.142,0.667,1.138,0.698,1.996,0.014,0,0,0,0
2021-01-01 19:00:00,0.149,0.603,1.152,0.713,2.047,0.012,0,0,0,0
2021-01-01 19:15:00,0.143,0.602,1.15,0.74,2.103,0.011,0,0,0,0
2021-01-01 19:30:00,0.146,0.646,1.229,0.761,2.136,0.011,0,0,0,0
2021-01-01 19:45:00,0.165,0.653,1.241,0.775,2.166,0.014,0,0,0,0
2021-01-01 20:00:00,0.157,0.698,1.243,0.804,2.16,0.017,0,0,0,0
2021-01-01 20:15:00,0.162,0.645,1.228,0.826,2.162,0.021,0,0,0,0
2021-01-01 20:30:00,0.165,0.487,1.286,0.846,2.193,0.024,0,0,0,0
2021-01-01 20:45:00,0.156,0.42,1.32,0.869,2.192,0.023,0,0,0,0
2021-01-01 21:00:00,0.142,0.396,1.353,0.909,2.239,0.02,0,0,0,0
2021-01-01 21:15:00,0.163,0.441,1.381,0.916,2.232,0.018,0,0,0,0
2021-01-01 21:30:00,0.187,0.418,1.414,0.917,2.274,0.016,0,0,0,0
2021-01-01 21:45:00,0.213,0.568,1.373,0.875,2.329,0.015,0,0,0,0
2021-01-01 22:00:00,0.198,0.707,1.512,0.85,2.313,0.018,0,0,0,0
2021-01-01 22:15:00,0.204,0.669,1.621,0.857,2.342,0.023,0,0,0,0
2021-01-01 22:30:00,0.165,0.604,1.673,0.85,2.4,0.026,0,0,0,0
2021-01-01 22:45:00,0.122,0.623,1.691,0.84,2.374,0.027,0,0,0,0
2021-01-01 23:00:00,0.147,0.639,1.636,0.809,2.318,0.026,0,0,0,0
2021-01-01 23:15:00,0.136,0.503,1.6,0.802,2.287,0.028,0,0,0,0
2021-01-01 23:30:00,0.117,0.35,1.662,0.787,2.264,0.029,0,0,0,0
2021-01-01 23:45:00,0.095,0.3,1.716,0.775,2.259,0.03,0,0,0,0
2021-01-02 00:00:00,0.107,0.296,1.685,0.763,2.235,0.033,0,0,0,0
2021-01-02 00:15:00,0.113,0.325,1.662,0.756,2.185,0.035,0,0,0,0
2021-01-02 00:30:00,0.115,0.277,1.644,0.76,2.177,0.039,0,0,0,0
2021-01-02 00:45:00,0.095,0.275,1.626,0.751,2.179,0.042,0,0,0,0
2021-01-02 01:00:00,0.088,0.276,1.609,0.744,2.183,0.041,0,0,0,0
2021-01-02 01:15:00,0.072,0.324,1.587,0.746,2.158,0.043,0,0,0,0
2021-01-02 01:30:00,0.058,0.39,1.552,0.766,2.126,0.043,0,0,0,0
2021-01-02 01:45:00,0.061,0.374,1.475,0.772,2.069,0.042,0,0,0,0
2021-01-02 02:00:00,0.078,0.413,1.437,0.779,2.031,0.045,0,0,0,0
2021-01-02 02:15:00,0.068,0.541,1.419,0.761,2.019,0.05,0,0,0,0
2021-01-02 02:30:00,0.09,0.498,1.377,0.753,2.034,0.052,0,0,0,0
2021-01-02 02:45:00,0.078,0.416,1.388,0.738,2.026,0.055,0,0,0,0
2021-01-02 03:00:00,0.068,0.358,1.42,0.735,2.015,0.06,0,0,0,0
