"Date (UTC)","Wind offshore 50Hertz","Wind offshore Tennet","Wind onshore 50Hertz","Wind onshore Amprion","Wind onshore Tennet","Wind onshore Transnet BW","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2019-01-01 00:00:00,1.02,2.116,7.827,2.408,9.667,0.094,0,0,0,0
2019-01-01 01:00:00,1.015,1.853,8.656,2.979,10.297,0.105,0,0,0,0
2019-01-01 02:00:00,0.66,1.8,9.307,3.123,10.214,0.103,0,0,0,0
2019-01-01 03:00:00,0.615,2.082,9.701,3.524,10.496,0.149,0,0,0,0
2019-01-01 04:00:00,0.494,2.084,10.416,4.096,11.214,0.196,0,0,0,0
2019-01-01 05:00:00,0.334,2.045,11.301,4.392,11.458,0.278,0,0,0,0
2019-01-01 06:00:00,0.339,1.591,12.172,4.784,11.749,0.382,0,0,0,0
2019-01-01 07:00:00,0.392,1.653,12.478,4.959,12.051,0.418,0,0,0,0
2019-01-01 08:00:00,0.561,1.647,12.752,5.197,11.992,0.498,0.015,0.015,0.038,0.017
2019-01-01 09:00:00,0.611,1.464,13.093,5.081,11.416,0.611,0.14,0.103,0.228,0.111
2019-01-01 10:00:00,0.595,1.56,13.082,5.315,12.087,0.828,0.346,0.25,0.562,0.21
2019-01-01 11:00:00,0.879,1.843,13.395,5.525,13.131,0.939,0.569,0.4,0.815,0.27
2019-01-01 12:00:00,0.922,1.599,13.833,5.232,13.418,0.897,0.696,0.475,0.823,0.238
2019-01-01 13:00:00,0.979,1.304,13.984,5.447,13.837,0.904,0.624,0.499,0.695,0.189
2019-01-01 14:00:00,0.956,1.288,14.052,5.697,13.966,0.908,0.371,0.393,0.427,0.108
2019-01-01 15:00:00,0.914,1.206,14.055,5.896,13.827,0.95,0.105,0.174,0.125,0.042
2019-01-01 16:00:00,0.929,1.288,14.288,6.461,13.977,1.013,0.001,0.012,0.004,0.005
2019-01-01 17:00:00,0.997,1.27,14.394,6.715,14.122,1.052,0,0,0,0
2019-01-01 18:00:00,0.985,1.222,14.588,6.625,14.009,1.101,0,0,0,0
2019-01-01 19:00:00,0.974,1.199,14.821,6.233,13.884,1.108,0,0,0,0
2019-01-01 20:00:00,0.947,1.195,14.756,6.17,14.033,1.097,0,0,0,0
2019-01-01 21:00:00,0.612,1.233,14.838,6.172,13.82,1.092,0,0,0,0
2019-01-01 22:00:00,0.608,1.231,14.396,6.094,13.406,1.091,0,0,0,0
2019-01-01 23:00:00,0.607,1.159,14.013,6.097,13.482,1.106,0,0,0,0
2019-01-02 00:00:00,0.522,1.147,13.535,5.921,12.638,0.839,0,0,0,0
2019-01-02 01:00:00,0.36,1.674,13.197,5.574,12.035,0.808,0,0,0,0
2019-01-02 02:00:00,0.254,2.405,12.722,5.487,11.426,0.814,0,0,0,0
2019-01-02 03:00:00,0.297,2.756,12.149,5.328,11.273,0.783,0,0,0,0
2019-01-02 04:00:00,0.317,2.778,12.598,5.364,11.204,0.699,0,0,0,0
2019-01-02 05:00:00,0.398,2.865,12.794,5.412,11.811,0.759,0,0,0,0
