"Date (UTC)","Wind offshore 50Hertz","Wind offshore Tennet","Wind onshore 50Hertz","Wind onshore Amprion","Wind onshore Tennet","Wind onshore Transnet BW","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2022-01-01 00:00:00,0.657,5.48,10.002,3.747,11.225,0.859,0,0,0,0
2022-01-01 00:15:00,0.587,5.455,10.271,3.533,10.789,0.832,0,0,0,0
2022-01-01 00:30:00,0.591,5.376,10.158,3.386,10.754,0.779,0,0,0,0
2022-01-01 00:45:00,0.56,5.213,10.257,3.37,10.755,0.762,0,0,0,0
2022-01-01 01:00:00,0.702,4.991,9.975,3.419,10.755,0.741,0,0,0,0
2022-01-01 01:15:00,0.675,5.117,10.18,3.393,10.364,0.675,0,0,0,0
2022-01-01 01:30:00,0.702,5.078,10.352,3.37,9.958,0.619,0,0,0,0
2022-01-01 01:45:00,0.882,4.966,9.97,3.367,9.523,0.602,0,0,0,0
2022-01-01 02:00:00,0.92,4.78,10.324,3.341,9.412,0.604,0,0,0,0
2022-01-01 02:15:00,0.948,4.804,10.277,3.286,9.081,0.519,0,0,0,0
2022-01-01 02:30:00,0.941,4.472,10.28,3.246,9.071,0.493,0,0,0,0
2022-01-01 02:45:00,0.865,4.472,10.41,3.014,8.77,0.469,0,0,0,0
2022-01-01 03:00:00,0.778,4.529,10.074,2.914,9.039,0.487,0,0,0,0
2022-01-01 03:15:00,0.694,4.573,9.972,2.782,8.923,0.494,0,0,0,0
2022-01-01 03:30:00,0.743,4.614,9.608,2.672,8.823,0.497,0,0,0,0
2022-01-01 03:45:00,0.768,4.836,9.415,2.622,8.91,0.471,0,0,0,0
2022-01-01 04:00:00,0.733,4.864,9.223,2.519,8.715,0.432,0,0,0,0
2022-01-01 04:15:00,0.657,5.038,9.325,2.499,8.754,0.398,0,0,0,0
2022-01-01 04:30:00,0.579,5.123,9.016,2.376,8.403,0.369,0,0,0,0
2022-01-01 04:45:00,0.547,4.819,8.896,2.319,8.604,0.327,0,0,0,0
2022-01-01 05:00:00,0.523,4.501,8.815,2.223,8.565,0.311,0,0,0,0
2022-01-01 05:15:00,0.537,4.115,8.603,2.148,8.601,0.296,0,0,0,0
2022-01-01 05:30:00,0.551,3.776,8.493,2.119,8.341,0.304,0,0,0,0
2022-01-01 05:45:00,0.55,3.595,8.574,2.088,8.197,0.29,0,0,0,0
2022-01-01 06:00:00,0.54,3.566,8.505,2.122,8.559,0.265,0,0,0,0
2022-01-01 06:15:00,0.581,3.751,8.556,2.07,8.613,0.246,0,0,0,0
2022-01-01 06:30:00,0.549,4.085,8.487,2.109,8.208,0.237,0,0,0,0
2022-01-01 06:45:00,0.485,4.498,8.482,2.068,7.984,0.231,0,0,0,0
2022-01-01 07:00:00,0.374,4.662,8.567,1.96,7.477,0.248,0,0,0,0
2022-01-01 07:15:00,0.264,4.688,8.258,2.041,7.474,0.257,0,0,0,0
2022-01-01 07:30:00,0.224,4.608,8.129,2.023,7.373,0.267,0,0,0,0
2022-01-01 07:45:00,0.206,4.388,8.07,2.038,7.188,0.27,0,0,0.001,0
2022-01-01 08:00:00,0.206,4.309,7.93,1.957,6.908,0.278,0,0.001,0.004,0
2022-01-01 08:15:00,0.239,3.877,7.647,1.976,6.646,0.282,0.009,0.01,0.043,0.001
2022-01-01 08:30:00,0.231,3.692,7.597,1.908,6.643,0.284,0.061,0.052,0.125,0.064
2022-01-01 08:45:00,0.254,3.898,7.614,1.934,6.342,0.266,0.121,0.143,0.228,0.172
2022-01-01 09:00:00,0.207,4.055,7.637,1.879,6.173,0.246,0.208,0.261,0.369,0.311
2022-01-01 09:15:00,0.171,4.142,7.609,1.786,5.995,0.234,0.312,0.4,0.533,0.458
2022-01-01 09:30:00,0.158,4.1,7.386,1.74,5.804,0.229,0.358,0.551,0.716,0.617
2022-01-01 09:45:00,0.177,3.855,7.333,1.75,5.681,0.2,0.419,0.718,0.903,0.774
2022-01-01 10:00:00,0.183,3.853,7.159,1.754,5.583,0.183,0.489,0.915,1.091,0.933
2022-01-01 10:15:00,0.192,3.871,6.734,1.759,5.358,0.16,0.575,1.116,1.295,1.095
2022-01-01 10:30:00,0.222,3.907,6.533,1.786,5.151,0.161,0.646,1.305,1.528,1.268
2022-01-01 10:45:00,0.201,3.781,6.437,1.812,4.793,0.155,0.688,1.469,1.772,1.447
2022-01-01 11:00:00,0.196,3.728,6.3,1.678,4.362,0.121,0.705,1.586,2.003,1.615
2022-01-01 11:15:00,0.19,3.887,6.071,1.652,4.42,0.103,0.751,1.692,2.233,1.774
2022-01-01 11:30:00,0.18,4.233,5.782,1.575,4.188,0.099,0.766,1.798,2.452,1.896
2022-01-01 11:45:00,0.15,4.5,5.176,1.516,4.036,0.089,0.816,1.88,2.628,1.964
2022-01-01 12:00:00,0.144,4.449,5.122,1.526,4.1,0.068,0.823,1.98,2.767,1.997
2022-01-01 12:15:00,0.115,4.726,5.063,1.474,3.964,0.046,0.847,2.063,2.881,2.022
2022-01-01 12:30:00,0.097,5.09,4.723,1.397,3.726,0.034,0.803,2.135,2.927,2.034
2022-01-01 12:45:00,0.076,5.287,4.474,1.347,3.718,0.029,0.735,2.139,2.856,1.968
2022-01-01 13:00:00,0.056,5.324,4.215,1.318,3.776,0.023,0.673,2.129,2.736,1.869
2022-01-01 13:15:00,0.034,5.409,3.809,1.301,3.851,0.022,0.655,2.066,2.566,1.783
2022-01-01 13:30:00,0.03,5.531,3.489,1.274,3.808,0.023,0.612,1.925,2.388,1.673
2022-01-01 13:45:00,0.028,5.696,3.234,1.258,3.889,0.022,0.543,1.768,2.252,1.534
2022-01-01 14:00:00,0.023,5.788,3.074,1.274,4.013,0.022,0.487,1.605,2.082,1.365
2022-01-01 14:15:00,0.025,5.834,2.774,1.265,4.15,0.016,0.443,1.426,1.887,1.207
2022-01-01 14:30:00,0.016,5.894,2.597,1.31,4.236,0.016,0.384,1.24,1.676,1.03
2022-01-01 14:45:00,0.013,5.967,2.446,1.323,4.43,0.016,0.304,1.047,1.442,0.858
2022-01-01 15:00:00,0.014,6.009,2.434,1.362,4.573,0.016,0.229,0.812,1.167,0.706
2022-01-01 15:15:00,0.014,6.016,2.332,1.405,4.661,0.016,0.16,0.585,0.847,0.56
2022-01-01 15:30:00,0.014,6.025,2.29,1.465,4.894,0.018,0.092,0.388,0.545,0.421
2022-01-01 15:45:00,0.013,6.054,2.386,1.552,5.197,0.022,0.035,0.238,0.305,0.29
2022-01-01 16:00:00,0.011,6.065,2.589,1.678,5.448,0.033,0.006,0.13,0.136,0.163
2022-01-01 16:15:00,0.01,6.095,2.635,1.839,5.758,0.045,0,0.048,0.04,0.059
2022-01-01 16:30:00,0.01,6.106,2.689,2.008,5.99,0.064,0,0.006,0.004,0.007
2022-01-01 16:45:00,0.016,6.117,2.733,2.184,6.381,0.076,0,0.001,0,0
2022-01-01 17:00:00,0.025,6.128,2.777,2.367,6.879,0.095,0,0,0,0
2022-01-01 17:15:00,0.017,6.075,2.808,2.433,7.296,0.107,0,0,0,0
2022-01-01 17:30:00,0.029,6.006,2.909,2.55,7.355,0.127,0,0,0,0
2022-01-01 17:45:00,0.03,6.013,2.998,2.626,7.613,0.149,0,0,0,0
2022-01-01 18:00:00,0.036,6.018,3.162,2.729,7.886,0.158,0,0,0,0
2022-01-01 18:15:00,0.029,6.011,3.279,2.781,8.172,0.181,0,0,0,0
2022-01-01 18:30:00,0.041,6.004,3.389,2.861,8.515,0.185,0,0,0,0
2022-01-01 18:45:00,0.056,6.006,3.645,2.975,8.815,0.207,0,0,0,0
2022-01-01 19:00:00,0.068,6.004,3.954,3.113,9.024,0.203,0,0,0,0
2022-01-01 19:15:00,0.084,6.002,4.084,3.266,8.967,0.188,0,0,0,0
2022-01-01 19:30:00,0.103,5.988,4.28,3.275,9.104,0.185,0,0,0,0
2022-01-01 19:45:00,0.118,5.981,4.406,3.261,9.283,0.177,0,0,0,0
2022-01-01 20:00:00,0.15,5.991,4.628,3.308,9.415,0.177,0,0,0,0
2022-01-01 20:15:00,0.204,5.987,4.511,3.393,9.482,0.18,0,0,0,0
2022-01-01 20:30:00,0.272,6,4.553,3.426,9.544,0.167,0,0,0,0
2022-01-01 20:45:00,0.345,5.986,4.564,3.445,9.589,0.164,0,0,0,0
2022-01-01 21:00:00,0.428,5.972,4.544,3.505,9.483,0.162,0,0,0,0
2022-01-01 21:15:00,0.496,5.967,4.727,3.56,9.513,0.175,0,0,0,0
2022-01-01 21:30:00,0.541,5.959,4.847,3.631,9.672,0.18,0,0,0,0
2022-01-01 21:45:00,0.56,5.976,5.072,3.712,9.469,0.193,0,0,0,0
2022-01-01 22:00:00,0.652,6.012,5.284,3.618,8.975,0.198,0,0,0,0
2022-01-01 22:15:00,0.704,6.023,5.532,3.635,9.034,0.201,0,0,0,0
2022-01-01 22:30:00,0.775,6.002,5.649,3.587,9.09,0.204,0,0,0,0
2022-01-01 22:45:00,0.87,5.941,5.736,3.593,9.066,0.225,0,0,0,0
2022-01-01 23:00:00,0.882,5.958,5.908,3.605,8.797,0.234,0,0,0,0
